Treatment,ID,Status,Time from start,Time from meta exposure,Time from schisto,Schisto inf.,Schisto fact,Meta inf.,Meta fact,Total inf.,Total fact,Metas
E1,E1.8,1,74,74,NA,NA,ap,1,p,NA,onem,4
E1,E1.9,1,74,74,NA,NA,ap,0,ap,NA,ap,0
E1,E1.10,1,74,74,NA,NA,ap,0,ap,NA,ap,0
E1,E1.11,1,74,74,NA,NA,ap,1,p,NA,onem,1
E1,E1.12,1,74,74,NA,NA,ap,0,ap,NA,ap,0
E1,E1.13,2,58,58,NA,NA,ap,0,ap,NA,ap,0
E1,E1.14,1,74,74,NA,NA,ap,1,p,NA,onem,1
E1,E1.15,2,7,7,NA,NA,ap,1,p,NA,onem,5
E1,E1.16,2,7,7,NA,NA,ap,1,p,NA,onem,1
E1,E1.17,1,74,74,NA,NA,ap,0,ap,NA,ap,0
E1,E1.18,1,74,74,NA,NA,ap,0,ap,NA,ap,0
E1,E1.19,1,74,74,NA,NA,ap,1,p,NA,onem,1
E1,E1.20,2,24,24,NA,NA,ap,1,p,NA,onem,7
E2,E2.1,1,74,70,NA,NA,ap,0,ap,NA,ap,0
E2,E2.2,1,74,70,NA,NA,ap,1,p,NA,onem,4
E2,E2.3,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.4,2,5,1,NA,NA,ap,0,ap,NA,ap,0
E2,E2.5,2,7,3,NA,NA,ap,1,p,NA,onem,1
E2,E2.6,1,74,70,NA,NA,ap,1,p,NA,onem,1
E2,E2.7,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.8,1,74,70,NA,NA,ap,0,ap,NA,ap,0
E2,E2.9,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.10,1,74,70,NA,NA,ap,0,ap,NA,ap,0
E2,E2.11,2,60,56,NA,NA,ap,1,p,NA,onem,2
E2,E2.12,2,13,9,NA,NA,ap,1,p,NA,onem,6
E2,E2.13,2,31,27,NA,NA,ap,1,p,NA,onem,7
E2,E2.14,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.15,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.16,1,74,70,NA,NA,ap,0,ap,NA,ap,0
E2,E2.18,1,74,70,NA,NA,ap,1,p,NA,onem,2
E2,E2.19,2,33,29,NA,NA,ap,1,p,NA,onem,5
E2,E2.20,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
E3,E3.1,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.2,2,43,35,NA,NA,ap,1,p,NA,onem,1
E3,E3.3,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.4,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.5,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.6,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.7,2,67,59,NA,NA,ap,1,p,NA,onem,5
E3,E3.8,2,34,26,NA,NA,ap,1,p,NA,onem,5
E3,E3.9,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.10,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.11,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.12,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.13,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.14,2,22,14,NA,NA,ap,1,p,NA,onem,4
E3,E3.15,1,74,66,NA,NA,ap,0,ap,NA,ap,0
E3,E3.16,1,74,66,NA,NA,ap,1,p,NA,onem,1
E3,E3.17,1,74,66,NA,NA,ap,0,ap,NA,ap,0
